name,title,lobbyist_type,client,lobbyist_status,start_date,end_date,lobbyist_street_address_1,lobbyist_street_address_2,lobbyist_city,lobbyist_region,lobbyist_country,lobbyist_postal_code,client_street_address_1,client_street_address_2,client_city,client_region,client_country,client_postal_code,subject_matter_category,subject_matter_status,activity_description,public_office_holders
Mallika Makkar,,Volunteer,McMaster University,Active,2020-10-26,2021-03-18,1280 Main St W,,Hamilton,ON,Canada,L8S 4L8,1280 Main St W,,Hamilton,ON,Canada,L8S 4L8,Public Health,Expired,"As McMaster Medical School students we are advocating for increased supports for persons experiencing homelessness in Hamilton. We ask that the Hamilton City Council collaborate with public health, healthcare organizations, and shelters to integrate and expand access to harm reduction resources and supervised consumption across the shelter system. In addition, we ask that Hamilton City Council cease the criminalization of activities associated with homelessness include many of those defined under the Public Nuisance bylaw (i.e loitering, public urination, public defecation, public intoxication) as well as sleeping rough and forming and living in encampments. Appropriate responses to these activities should involve individuals trained to interact with and support underserved populations, such as community housing workers, health workers, and mental health workers in acute crises. Lastly, we ask that the Hamilton City Council declare that public washrooms and hygiene facilities are essential services and subsequently increase availability of and access to public hygiene facilities. These measures aim to mitigate the harms of a lack of stable housing and improve health and social outcomes for individuals experiencing homelessness.","[{'name': 'Clark, Brad', 'title': 'Councillor'}]"
Stephanie Li,student,Volunteer,Stephanie Li,Active,2020-10-30,2021-03-18,1280 Main St W,,Hamilton,ON,Canada,L8S 4L8,1280 Main St W,,Hamilton,ON,Canada,L8S 4L8,Public Health,Expired,"McMaster Medical School students we are advocating for increased supports for persons experiencing homelessness in Hamilton. We ask that the Hamilton City Council collaborate with public health, healthcare organizations, and shelters to integrate and expand access to harm reduction resources and supervised consumption across the shelter system. In addition, we ask that Hamilton City Council cease the criminalization of activities associated with homelessness include many of those defined under the Public Nuisance bylaw (i.e loitering, public urination, public defecation, public intoxication) as well as sleeping rough and forming and living in encampments. Appropriate responses to these activities should involve individuals trained to interact with and support underserved populations, such as community housing workers, health workers, and mental health workers in acute crises. Lastly, we ask that the Hamilton City Council declare that public washrooms and hygiene facilities are essential services and subsequently increase availability of and access to public hygiene facilities. These measures aim to mitigate the harms of a lack of stable housing and improve health and social outcomes for individuals experiencing homelessness.","[{'name': 'Nann, Nrinder', 'title': 'Councillor'}]"
Karam Rassam,Medical Student,Volunteer,McMaster University,Active,2020-10-27,2021-10-27,1280 Main St W.,,Hamilton,ON,Canada,L8S 4L8,1280 Main St W.,,Hamilton,ON,Canada,L8S 4L8,Public Health,Expired,"As McMaster Medical School students we are advocating for increased supports for persons experiencing homelessness in Hamilton. We ask that the Hamilton City Council collaborate with public health, healthcare organizations, and shelters to integrate and expand access to harm reduction resources and supervised consumption across the shelter system. In addition, we ask that Hamilton City Council cease the criminalization of activities associated with homelessness include many of those defined under the Public Nuisance bylaw (i.e loitering, public urination, public defecation, public intoxication) as well as sleeping rough and forming and living in encampments. Appropriate responses to these activities should involve individuals trained to interact with and support underserved populations, such as community housing workers, health workers, and mental health workers in acute crises. Lastly, we ask that the Hamilton City Council declare that public washrooms and hygiene facilities are essential services and subsequently increase availability of and access to public hygiene facilities. These measures aim to mitigate the harms of a lack of stable housing and improve health and social outcomes for individuals experiencing homelessness.","[{'name': 'Jackson, Tom', 'title': 'Councillor'}]"
Mackenzie Stoness,Medical Student,Volunteer,McMaster University,Active,2020-10-28,2021-03-18,1280 Main St. W,,Hamilton,ON,Canada,L8S 4L8,1280 Main St. W,,Hamilton,ON,Canada,L8S 4L8,Public Health,Expired,"As McMaster Medical School students we are advocating for increased supports for persons experiencing homelessness in Hamilton. We ask that the Hamilton City Council collaborate with public health, healthcare organizations, and shelters to integrate and expand access to harm reduction resources and supervised consumption across the shelter system. In addition, we ask that Hamilton City Council cease the criminalization of activities associated with homelessness include many of those defined under the Public Nuisance bylaw (i.e loitering, public urination, public defecation, public intoxication) as well as sleeping rough and forming and living in encampments. Appropriate responses to these activities should involve individuals trained to interact with and support underserved populations, such as community housing workers, health workers, and mental health workers in acute crises. Lastly, we ask that the Hamilton City Council declare that public washrooms and hygiene facilities are essential services and subsequently increase availability of and access to public hygiene facilities. These measures aim to mitigate the harms of a lack of stable housing and improve health and social outcomes for individuals experiencing homelessness.","[{'name': 'Merulla, Sam', 'title': 'Councillor'}]"
John Brodhead,,Consultant,John Brodhead,Active,2020-10-19,2021-10-19,48 Frizzell Ave,,Toronto,ON,Canada,M4J 1E3,48 Frizzell Ave,,Toronto,ON,Canada,M4J 1E3,Economic Development,Expired,Discussion with Jason on economic opportunities and potential partnerships with the City of Hamilton,"[{'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Amy Freeman,,Volunteer,McMaster University,Active,2020-10-30,2021-10-30,1280 Main St W,,Hamilton,ON,Canada,L8S 4L8,1280 Main St W,,Hamilton,ON,Canada,L8S 4L8,Public Health,Expired,"As McMaster Medical School students we are advocating for increased supports for persons experiencing homelessness in Hamilton. We ask that the Hamilton City Council collaborate with public health, healthcare organizations, and shelters to integrate and expand access to harm reduction resources and supervised consumption across the shelter system. In addition, we ask that Hamilton City Council cease the criminalization of activities associated with homelessness include many of those defined under the Public Nuisance bylaw (i.e loitering, public urination, public defecation, public intoxication) as well as sleeping rough and forming and living in encampments. Appropriate responses to these activities should involve individuals trained to interact with and support underserved populations, such as community housing workers, health workers, and mental health workers in acute crises. Lastly, we ask that the Hamilton City Council declare that public washrooms and hygiene facilities are essential services and subsequently increase availability of and access to public hygiene facilities. These measures aim to mitigate the harms of a lack of stable housing and improve health and social outcomes for individuals experiencing homelessness.","[{'name': 'Nann, Nrinder', 'title': 'Councillor'}]"
Brian Lennie,"Senior Advisor, Municipal Affairs",In-house,Enbridge Gas Inc.,Active,2020-10-05,2021-10-05,50 Keil Drive North,,Chatham,ON,Canada,N7M5M1,50 Keil Drive North,,Chatham,ON,Canada,N7M 5M1,Environment,Expired,Providing senior staff with information on Enbridge Gas projects and activities in the City of Hamilton.,"[{'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}]"
Eve Adams,Head of Sales | Marketing | Transportation,In-house,Duron Ontario,Active,2020-10-01,2021-10-01,1860 Shawson Dr,,Mississauga,ON,Canada,L4W 1R7,1860 Shawson Dr,,Mississauga,ON,Canada,L4W 1R7,Infrastructure,Expired,Promoting infrastructure maintenance and renewal.,"[{'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}]"
Roy Lauder,Executive,Consultant,Edinburgh Rail Canada Ltd,Active,2020-09-17,2021-09-17,100 Grant Carmen Drive,Apartment 409,Ottawa,ON,Canada,K2E 8B8,100 Grant Carmen Drive,Apartment 409,Ottawa,ON,Canada,K2E 8B8,Transportation,Expired,Discussion on the provision of funding for LRT/BRT transport projects,"[{'name': 'Smith, Janette', 'title': 'City Manager'}]"
Niousha  Ghazni,,In-house,Emergent BioSolutions Canada Inc.,Active,2020-08-13,2021-03-18,"2476 Argentia Rd., Suite 403",,Mississauga,ON,Canada,L5N 2X7,"2476 Argentia Rd., Suite 403",,Mississauga,ON,Canada,L5N 2X7,Procurement,Expired,"Introduce public office holders to the Naloxone Ready Communities initiative which has as its goal increased public access in public buildings and through public services to Naloxone as a means to protect the public, first responders, and others in the event of opioid overdose.","[{'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}]"
Niousha  Ghazni,,In-house,Emergent BioSolutions Canada Inc.,Active,2020-08-13,2021-03-18,"2476 Argentia Rd., Suite 403",,Mississauga,ON,Canada,L5N 2X7,"2476 Argentia Rd., Suite 403",,Mississauga,ON,Canada,L5N 2X7,Public Health,Expired,"Introduce public office holders to the Naloxone Ready Communities initiative which has as its goal increased public access in public buildings and through public services to Naloxone as a means to protect the public, first responders, and others in the event of opioid overdose.","[{'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}]"
Leandra Wells,"Senior Director, Marketing & Sales",In-house,Emergent BioSolutions Canada Inc.,Active,2020-08-13,2021-03-18,"2476 Argentia Rd., Suite 403",,Mississauga,ON,Canada,L5N 2X7,"2476 Argentia Rd., Suite 403",,Mississauga,ON,Canada,L5N 2X7,Procurement,Expired,"Introduce public office holders to the Naloxone Ready Communities initiative which has as its goal increased public access in public buildings and through public services to Naloxone as a means to protect the public, first responders, and others in the event of opioid overdose.","[{'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}]"
Leandra Wells,"Senior Director, Marketing & Sales",In-house,Emergent BioSolutions Canada Inc.,Active,2020-08-13,2021-03-18,"2476 Argentia Rd., Suite 403",,Mississauga,ON,Canada,L5N 2X7,"2476 Argentia Rd., Suite 403",,Mississauga,ON,Canada,L5N 2X7,Public Health,Expired,"Introduce public office holders to the Naloxone Ready Communities initiative which has as its goal increased public access in public buildings and through public services to Naloxone as a means to protect the public, first responders, and others in the event of opioid overdose.","[{'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}]"
Tristan Downe-Dewdney,Associate,Consultant,Sussex Strategy Group Inc.,Active,2020-08-07,2021-03-18,55 University Ave,Suite 600,Toronto,ON,Canada,M5J2H7,110 Dunn Street,,Oakville,ON,Canada,L6J 3E1,Procurement,Expired,Introduction to novel space cleaning and sanitizing solution appropriate for public health response to COVID-19.,"[{'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Smith, Janette', 'title': 'City Manager'}]"
John Matheson,Principal/Legal Counsel,Consultant,StrategyCorp Inc.,Active,2020-07-30,2021-07-30,145 King Street,2nd Floor,Toronto,ON,Canada,M5C 2Y7,301 Fruitland Road,Unit 10,Stoney Creek,ON,Canada,L8E 5M1,Planning and Development - Planning Policy,Expired,Discussion regarding planned updates to the City of Hamilton’s growth management strategy as part of GRIDS 2.,"[{'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Jeff Lang-Weir,Manager,Consultant,StrategyCorp Inc,Active,2020-07-30,2021-01-01,145 King Street East,2nd Floor,Toronto,ON,Canada,M5C 2Y7,301 Fruitland Road,Unit 10,Stoney Creek,ON,Canada,L8E 5M1,Planning and Development - Planning Policy,Expired,Discussion regarding planned updates to the City of Hamilton’s growth management strategy as part of GRIDS 2.,"[{'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Tony Valeri,"Vice President, Corporate Affairs",In-house,ArcelorMittal Dofasco,Active,2020-01-01,2021-01-01,"1330 Burlington Street E, P.O. 2460",,Hamilton,ON,Canada,L8N 3J5,"1330 Burlington Street E, P.O. 2460",,Hamilton,ON,Canada,L8N 3J5,Economic Development,Expired,"- Sustaining and growing economic opportunities
- Sustaining steel supply chain and automotive supply chains
- Energy supply chain and general industry
- Water and Waterfront revitalization
- Environmental sustainability
- Hamilton Transit Task Force","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Farr, Laura', 'title': 'Administrative Assistant'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Brown, Dale', 'title': 'Constituency Assistant'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Bates, Samantha', 'title': 'Administrative Assistant'}, {'name': 'Bates, Nancy', 'title': 'Administrative Assistant'}, {'name': 'Coffey, Jackie', 'title': 'Administrative Assistant'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Ceric, Maryana', 'title': 'Administrative Assistant'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Court-Znottka, Hayley', 'title': 'Office Assistant'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Bishop, Kathy', 'title': 'Executive Assistant'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Cecchetti, Lynne', 'title': 'Administrative Assistant'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Murray, Chris', 'title': 'City Manager'}]"
Franco Amalfi,Strategic Business Executive Public Secotr,In-house,Google Cloud,Active,2020-07-27,2021-07-27,1253 McGill College Ave,,Montreal,QC,Canada,H3B 2Y5,111 Richmond Street West,,Toronto,ON,Canada,M5H 2G4,Information Technology,Expired,"Communicating about the COVID-19 pandemic, including potential collaboration between the City of Hamilton and Google on remote work practices, chatbots, community mobility reports, and network infrastructure.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Smith, Janette', 'title': 'City Manager'}]"
Kevin Whyte,"Director, Government Relations",Consultant,Sutherland Corp Ltd.,Active,2020-07-24,2021-07-24,"8500 Leslie Street, 390",390,Markham,ON,Canada,L3T 7M8,1101 Wilson Blvd,Suite 2000,Arlington,VA,United States,A1A 1A1,Transit,Expired,"Promote the use of hybrid and electric transit solutions.

1101 Wilson Blvd, Suite 2000
Arlington, Virginia, USA
22209","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}]"
Wayne Passmore,"Specialist, Economic Development",In-house,Enbridge Gas Inc.,Active,2020-07-20,2021-07-20,50 Keil Drive North,,Chatham,ON,Canada,N7M 5M1,50 Keil Drive North,,Chatham,ON,Canada,N7M 5M1,Economic Development,Expired,Working with Hamilton to advance Economic Development Projects.,"[{'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Parminder Sandhu,,Consultant,Santha Technologies Inc,,2020-07-15,2021-07-15,,,,,,,181 Bay Street Suite 1800,,Toronto,ON,Canada,M5J 2T9,Information Technology,Expired,Outreach related to active browser-based application for conducting active health screening and contact tracing.,"[{'name': 'Smith, Janette', 'title': 'City Manager'}]"
Bob Lopinski,Principal,Consultant,Counsel Public Affair Inc.,Active,2020-07-14,2021-03-18,95 St Clair Ave W,Suite 1606,Toronto,ON,Canada,M4V 1N6,2476 Argentia Road,Suite 403,Mississauga,ON,Canada,L5N 6M1,Procurement,Expired,"Introduce public office holders to the Naloxone Ready Communities initiative which has as its goal increased public access in public buildings and through public services to Naloxone as a means to protect the public, first responders, and others in the event of opioid overdose.","[{'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}]"
Bob Lopinski,Principal,Consultant,Counsel Public Affair Inc.,Active,2020-07-14,2021-03-18,95 St Clair Ave W,Suite 1606,Toronto,ON,Canada,M4V 1N6,2476 Argentia Road,Suite 403,Mississauga,ON,Canada,L5N 6M1,Public Health,Expired,"Introduce public office holders to the Naloxone Ready Communities initiative which has as its goal to increased public access in public buildings and through public services to Naloxone as a means to protect the public, first responders, and others in the event of opioid overdose.","[{'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}]"
Chris  Schafer,"Vice President, Government Affairs",In-house,Bird Canada,Active,2020-06-29,2021-06-29,"Suite 2300, 161 Bay Street",Brookfield Place,Toronto,ON,Canada,M5J2S1,161 Bay Street,Suite 2300,Toronto,ON,Canada,M5J2S1,Transportation,Expired,E-scooter micro-mobility solution for Hamilton.,"[{'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Howard Brown,President,Consultant,Brown & Cohen Communications & Public Affairs Inc.,Active,2020-06-25,2021-03-18,321 Brooke Ave,,North York,ON,Canada,M5M 2L4,5825 Kennedy Rd,,Mississauga,ON,Canada,L4Z 2G3,Health and Safety,Expired,"To promote the use of a disinfectant service to the government, in order to help keep employees and the public safe, in the public sector and beyond.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Sara Bourdeau,Consultant,Consultant,StrategyCorp Inc.,Active,2020-06-18,2021-06-18,145 King Street East,Second Floor,Toronto,ON,Canada,M5C 2Y7,3300 Bloor Street West,Suite 1801,Toronto,ON,Canada,M8X 2X2,Economic Development,Expired,Communications and arranging meetings,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Hamish Campbell,"Country Manager, Canada",In-house,Via On-Demand Transit,Active,2020-06-15,2021-06-15,"160 Varick Street, 4th Floor",4th Floor,New York,NY,United States,L8P4L4,160 Varick Street,4th Floor,New York,ON,Canada,L8P4L4,Transit,Expired,Leverage on-demand transit technology to optimize transit network; maintain/enhance service levels with fewer buses thereby saving money.,"[{'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Dmitriy Morgunov,"Manager, Business Development",In-house,Mastercard Canada,Active,2020-06-15,2021-06-15,600-121 Bloor St. E,,Toronto,ON,Canada,M4W 3M5,600-121 Bloor St. E,,Toronto,ON,Canada,M4W 3E5,Economic Development,Expired,"Discussion of Smart Cities with respect to Mastercard products, services and data.","[{'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Elizabeth Mendes,Policy Associate,In-house,Airbnb Canada Inc.,Expired,2020-06-05,2020-07-09,"Heritage Building, 101 College Street",Suite 440,Toronto,ON,Canada,M5G 1L7,Heritage Building 101 College Street,Suite 440,Toronto,ON,Canada,M5G 1L7,Real Estate/Property,Expired,"Policies to support the new sharing economy, particularly policies related to home sharing.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}]"
Nathan Rotman,Policy Associate,In-house,Airbnb Canada Inc.,Active,2020-06-05,2021-06-05,"Heritage Building, 101 College Street",,Toronto,ON,Canada,M5G 1L7,"Heritage Building, 101 College Street",Suite 440,Toronto,ON,Canada,M5G 1L7,Real Estate/Property,Expired,"Policies to support the new sharing economy, particularly policies related to home sharing.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}]"
Nicholas Klip,"Manager, Operations",In-house,Enbridge Gas Inc.,Active,2020-06-05,2021-06-05,918 South Service Rd,,Stoney Creek,ON,Canada,L8E 5M4,918 South Service Rd,,Hamilton,ON,Canada,L8E 5M4,Environment,Expired,Providing Mayor and Councilors with information on Enbridge Gas Inc. projects and activities in the greater Hamilton region.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}]"
Tony Valeri,"Vice President, Corporate Affairs",In-house,ArcelorMittal Dofasco,Active,2020-01-01,2021-01-01,"1330 Burlington Street E, P.O. 2460",,Hamilton,ON,Canada,L8N 3J5,"1330 Burlington Street E, P.O. 2460",,Hamilton,ON,Canada,L8N 3J5,Economic Development,Expired,"Financial Issues, Economy","[{'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}]"
Brian Lennie,"Senior Advisor, Municipal Affairs",In-house,Enbridge Gas Inc.,Active,2020-06-05,2021-06-05,50 Keil Drive North,,Chatham,ON,Canada,N7M5M1,50 Keil Drive North,,Chatham,ON,Canada,N7M5M1,Environment,Expired,Providing Mayor and Councillors with information on Enbridge Gas projects and activities in the City of Hamilton.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Litzen, Julie', 'title': 'Administrative Assistant'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Farr, Laura', 'title': 'Administrative Assistant'}, {'name': 'Bishop, Kathy', 'title': 'Executive Assistant'}]"
Sam Sadle,,In-house,Lime,Active,2020-05-22,2021-05-22,511 - 60 Bathurst Street,,Toronto,ON,Canada,M5V 2P4,511 - 60 Bathurst Street,,Toronto,ON,Canada,M5V 2P4,Transportation,Expired,Discussions about the development and deployment of a micromobility system in Hamilton.,"[{'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Kevin Whyte,"Director, Government Relations",Consultant,Sutherland Corp Ltd.,Active,2020-04-23,2021-04-23,"8500 Leslie Street, 390",390,Markham,ON,Canada,L3T 7M8,243 Queen St N,,Hamilton,ON,Canada,L8R 3N6,Emergency Services,Expired,Lobby to have mobile triage / treatment units utilized by the City.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'Crone, Greg', 'title': 'Strategic Initiatives and Policy Advisor'}]"
Paul Parente,President,In-house,Highvalley Holdings Ltd.,Active,2020-03-02,2021-03-02,35 JERSEYVILLE RD W,,ANCASTER,ON,Canada,L9G1A1,35 Jerseyville Rd W.,,Hamilton,ON,Canada,L9G 1A1,Planning and Development - Official Plan,Expired,Planning,"[{'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}]"
Hussein Hassen,Business development executive,In-house,ESII,Active,2020-02-26,2021-02-26,1565 BOUL DE L'AVENIR BUREAU 206,,LAVAL,QC,Canada,H7S 2N5,1565 BOUL DE L'AVENIR BUREAU 206,,LAVAL,QC,Canada,H7S 2N5,Business Improvement Area (BIA),Expired,"The purpose of ESII solutions is to optimize queuing and facilitate the user journey. They adapt to all types of administrative services (city halls, tax offices, consulates, embassies, etc.), regardless of the number of visitors.

After having equipped more than 4,200 sites in the Public Sector, ESII enjoys a genuine know-how. For each step of the user journey, an ESII solution exists: making appointments via the Internet before the visit, check-in on an on-site interactive terminal, call ticket, dynamic communication on screen during waiting, satisfaction survey by e-mail after the visit, etc.

 ESII benefits BENEFITS: 
Reduce waiting times
Free up waiting areas
Better digital relationship with your visitors","[{'name': 'Smith, Janette', 'title': 'City Manager'}]"
